iter	Passed	Remaining
592	48922	33577
593	49004	33494
594	49073	33403
595	49147	33314
596	49212	33220
597	49287	33133
598	49361	33044
599	49479	32986
600	49713	33004
601	49793	32920
602	49871	32833
603	49949	32748
604	50144	32738
605	50352	32737
606	50440	32657
607	50529	32577
608	50613	32495
609	50679	32401
610	50753	32312
611	50831	32226
612	50929	32153
613	51125	32140
614	51385	32167
615	51455	32075
616	51573	32013
617	51779	32005
618	51939	31969
619	52027	31887
620	52097	31795
621	52163	31700
622	52301	31649
623	52520	31647
624	52595	31557
625	52661	31462
626	52728	31367
627	52885	31326
628	53133	31339
629	53204	31247
630	53268	31150
631	53337	31057
632	53397	30958
633	53465	30864
634	53530	30769
635	53593	30672
636	53662	30579
637	53726	30484
638	53752	30367
639	53825	30276
640	53896	30185
641	53960	30089
642	54041	30004
643	54261	29995
644	54375	29927
645	54438	29831
646	54526	29749
647	54608	29663
648	54680	29573
649	54749	29480
650	54814	29385
651	54893	29298
652	54993	29223
653	55070	29135
654	55162	29055
655	55270	28983
656	55368	28906
657	55469	28830
658	55499	28718
659	55570	28627
660	55647	28539
661	55728	28453
662	55798	28362
663	55873	28273
664	55971	28195
665	56060	28114
666	56151	28033
667	56303	27983
668	56562	27985
669	56685	27919
670	56784	27842
671	56887	27766
672	57121	27754
673	57345	27736
674	57484	27677
675	57688	27649
676	57823	27588
677	57903	27500
678	57980	27410
679	58057	27321
680	58137	27233
681	58212	27143
682	58363	27087
683	58603	27074
684	58846	27060
685	58941	26979
686	59110	26931
687	59414	26943
688	59703	26948
689	59991	26952
690	60296	26963
691	60453	26906
692	60564	26829
693	60701	26764
694	60989	26764
695	61225	26742
696	61496	26733
697	61791	26734
698	62028	26710
699	62322	26709
700	62578	26691
701	62686	26610
702	62798	26530
703	62942	26464
704	63205	26447
705	63352	26381
706	63458	26298
707	63581	26222
708	63690	26140
709	63963	26126
710	64227	26106
711	64483	26083
712	64747	26062
713	64845	25974
714	64931	25881
715	65039	25797
716	65152	25715
717	65267	25634
718	65465	25585
719	65630	25523
720	65729	25435
721	65816	25342
722	65904	25249
723	65948	25140
724	66031	25046
725	66115	24952
726	66204	24860
727	66305	24773
728	66395	24681
729	66490	24592
730	66574	24498
731	66674	24410
732	66776	24323
733	66872	24234
734	66972	24146
735	67069	24057
736	67137	23958
737	67201	23857
738	67275	23760
739	67357	23666
740	67457	23578
741	67552	23488
742	67631	23393
743	67711	23298
744	67786	23202
745	67868	23107
746	67960	23017
747	68056	22928
748	68129	22831
749	68205	22735
750	68279	22638
751	68368	22547
752	68477	22462
753	68575	22373
754	68665	22282
755	68696	22171
756	68778	22078
757	68852	21981
758	68933	21887
759	69010	21792
760	69096	21700
761	69359	21663
762	69654	21635
763	69832	21571
764	69945	21486
765	70179	21438
766	70310	21359
767	70435	21277
768	70519	21183
769	70618	21093
770	70697	20998
771	70787	20906
772	70875	20813
773	70989	20728
774	71086	20638
775	71183	20547
776	71305	20464
777	71397	20372
778	71480	20278
779	71600	20194
780	71693	20103
781	71846	20028
782	71953	19941
783	72039	19847
784	72145	19759
785	72295	19683
786	72362	19584
787	72591	19529
788	72703	19442
789	72870	19370
790	73021	19293
791	73195	19223
792	73310	19136
793	73442	19054
794	73578	18973
795	73690	18885
796	73846	18809
797	74039	18741
798	74148	18653
799	74189	18547
800	74278	18453
801	74362	18358
802	74516	18281
803	74732	18218
804	74849	18131
805	74969	18044
806	75063	17952
807	75175	17863
808	75299	17777
809	75386	17683
810	75494	17593
811	75584	17499
812	75667	17404
813	75742	17307
814	75812	17209
815	75899	17114
816	75973	17017
817	76087	16929
818	76184	16836
819	76251	16738
820	76339	16644
821	76419	16548
822	76493	16451
823	76568	16354
824	76654	16260
825	76746	16167
826	76823	16070
827	76946	15984
828	77049	15893
829	77129	15797
830	77270	15714
831	77407	15630
832	77543	15545
833	77648	15455
834	77755	15364
835	77831	15268
836	77869	15164
837	77981	15075
838	78102	14987
839	78326	14919
840	78456	14833
841	78528	14735
842	78615	14641
843	78844	14573
844	78958	14483
845	79033	14386
846	79106	14289
847	79175	14191
848	79247	14094
849	79319	13997
850	79409	13903
851	79483	13807
852	79561	13710
853	79632	13613
854	79704	13517
855	79793	13423
856	79905	13333
857	80047	13247
858	80158	13157
859	80289	13070
860	80361	12973
861	80476	12883
862	80621	12798
863	80724	12706
864	80758	12603
865	80826	12506
866	80898	12410
867	80969	12313
868	81040	12216
869	81181	12130
870	81331	12045
871	81409	11949
872	81474	11852
873	81546	11756
874	81619	11659
875	81698	11564
876	81763	11467
877	81860	11374
878	81928	11278
879	82017	11184
880	82122	11092
881	82320	11013
882	82607	10945
883	82825	10868
884	83123	10801
885	83356	10725
886	83588	10648
887	83828	10572
888	84086	10498
889	84254	10413
890	84482	10335
891	84671	10251
892	84856	10167
893	85042	10083
894	85294	10006
895	85497	9923
896	85787	9850
897	86046	9773
898	86335	9699
899	86595	9621
900	86839	9541
901	87063	9459
902	87330	9381
903	87449	9286
904	87598	9195
905	87739	9103
906	87861	9008
907	87987	8915
908	88237	8833
909	88410	8743
910	88540	8649
911	88665	8555
912	88815	8463
913	89048	8378
914	89149	8281
915	89240	8183
916	89328	8085
917	89541	7998
918	89831	7917
919	90115	7836
920	90268	7742
921	90397	7647
922	90506	7550
923	90755	7464
924	90878	7368
925	91041	7275
926	91172	7179
927	91286	7082
928	91388	6984
929	91550	6890
930	91831	6806
931	92080	6718
932	92254	6624
933	92358	6526
934	92467	6428
935	92571	6329
936	92676	6231
937	92782	6132
938	93009	6042
939	93148	5945
940	93248	5846
941	93359	5748
942	93483	5650
943	93598	5552
944	93703	5453
945	93827	5355
946	93977	5259
947	94082	5160
948	94276	5066
949	94521	4974
950	94700	4879
951	94788	4779
952	94878	4679
953	94969	4579
954	95051	4478
955	95142	4378
956	95229	4278
957	95325	4179
958	95429	4079
959	95679	3986
960	95820	3888
961	95929	3789
962	96052	3690
963	96277	3595
964	96576	3502
965	96677	3402
966	96801	3303
967	96973	3205
968	97203	3109
969	97299	3009
970	97433	2909
971	97590	2811
972	97679	2710
973	97954	2614
974	98048	2514
975	98142	2413
976	98299	2314
977	98433	2214
978	98503	2112
979	98575	2011
980	98665	1910
981	98751	1810
982	98883	1710
983	99011	1609
984	99273	1511
985	99420	1411
986	99647	1312
987	99724	1211
988	99797	1109
989	99899	1009
990	100089	908
991	100347	809
992	100473	708
993	100572	607
994	100667	505
995	100856	405
996	101036	304
997	101068	202
998	101155	101
999	101243	0
